FacilityReportID,FacilityID,PollutantTo,GroupCode,PollutantCode,CAS,MethodCode,MethodDesignation,MethodTypeCode,TotalQuantity,TotalQuantityUnitCode,AccidentalQuantity,AccidentalQuantityUnitCode,ConfidentialIndicator,ConfidentialCode,LOV_MediumID,MethodListID,LOV_PollutantID,LOV_PollutantGroupID,LOV_MethodBasisID,LOV_ConfidentialityID
959784,7019,AIR,GRHGAS,CO2,124-38-9,C,ETS,ETS,1.13E10,KGM,0.0,KGM,0,NULL,1,2918576,10,1,2,NULL
959784,7019,AIR,OTHGAS,CHLORINE AND INORGANIC COMPOUNDS,NULL,M,NRB (D.M. 25/08/00 All. 2),NRB,476000.0,KGM,0.0,KGM,0,NULL,1,2918606,23,2,1,NULL
959784,7019,AIR,OTHGAS,FLUORINE AND INORGANIC COMPOUNDS,NULL,M,NRB (D.M. 25/08/00 All.2),NRB,17600.0,KGM,0.0,KGM,0,NULL,1,2918607,24,2,1,NULL
959784,7019,AIR,OTHGAS,CO,630-08-0,M,NRB (M. UNICHIM n° 542),NRB,2.27E8,KGM,0.0,KGM,0,NULL,1,2918608,15,2,1,NULL
959784,7019,AIR,HEVMET,CR AND COMPOUNDS,NULL,M,NRB (D.M. 25/08/00 App. 1),NRB,570.0,KGM,0.0,KGM,0,NULL,1,2918600,28,3,1,NULL
959784,7019,AIR,HEVMET,CU AND COMPOUNDS,NULL,M,NRB (D.M. 25/08/00 App. 1),NRB,2060.0,KGM,0.0,KGM,0,NULL,1,2918601,29,3,1,NULL
959784,7019,AIR,HEVMET,HG AND COMPOUNDS,NULL,M,NRB (D.M. 25/08/00 App. 1),NRB,174.0,KGM,0.0,KGM,0,NULL,1,2918602,30,3,1,NULL
959784,7019,AIR,HEVMET,NI AND COMPOUNDS,NULL,M,NRB (D.M. 25/08/00 App. 1),NRB,616.0,KGM,0.0,KGM,0,NULL,1,2918603,31,3,1,NULL
959784,7019,AIR,HEVMET,PB AND COMPOUNDS,NULL,M,NRB (D.M. 25/08/00 App. 1),NRB,297.0,KGM,0.0,KGM,0,NULL,1,2918604,32,3,1,NULL
959784,7019,AIR,HEVMET,ZN AND COMPOUNDS,NULL,M,NRB (D.M. 25/08/00 App. 1),NRB,39700.0,KGM,0.0,KGM,0,NULL,1,2918605,33,3,1,NULL
959784,7019,AIR,OTHGAS,NOX,NULL,M,NRB (D.M. 25/08/00 All. 1),NRB,1.29E7,KGM,0.0,KGM,0,NULL,1,2918596,18,2,1,NULL
959784,7019,AIR,OTHGAS,SOX,NULL,M,NRB (D.M. 25/08/00 All. 1),NRB,1.39E7,KGM,0.0,KGM,0,NULL,1,2918597,19,2,1,NULL
959784,7019,AIR,HEVMET,AS AND COMPOUNDS,NULL,M,NRB (D.M. 25/08/00 App. 1),NRB,138.0,KGM,0.0,KGM,0,NULL,1,2918598,26,3,1,NULL
959784,7019,AIR,HEVMET,CD AND COMPOUNDS,NULL,M,NRB (D.M. 25/08/00 App. 1),NRB,240.0,KGM,0.0,KGM,0,NULL,1,2918599,27,3,1,NULL
959784,7019,AIR,OTHGAS,NMVOC,NULL,M,UNI EN 13649,OTH,937000.0,KGM,0.0,KGM,0,NULL,1,2918590,17,2,1,NULL
959784,7019,AIR,CHLORG,POLYCHLORINATED BIPHENYLS (PCBS),1336-36-3,M,UNI EN 1948-06,OTH,31.4,KGM,0.0,KGM,0,NULL,1,2918592,66,5,1,NULL
962460,7019,AIR,HEVMET,CR AND COMPOUNDS,NULL,M,NRB (D.M. 25/08/00 App. 1),NRB,749.0,KGM,0.0,KGM,0,NULL,1,2927065,28,3,1,NULL
962460,7019,AIR,HEVMET,CU AND COMPOUNDS,NULL,M,NRB (D.M. 25/08/00 App. 1),NRB,1590.0,KGM,0.0,KGM,0,NULL,1,2927066,29,3,1,NULL
962460,7019,AIR,HEVMET,HG AND COMPOUNDS,NULL,M,NRB (D.M. 25/08/00 App. 1),NRB,105.0,KGM,0.0,KGM,0,NULL,1,2927067,30,3,1,NULL
962460,7019,AIR,OTHGAS,NMVOC,NULL,M,UNI EN 13649,CEN/ISO,1550000.0,KGM,0.0,KGM,0,NULL,1,2927044,17,2,1,NULL
962460,7019,AIR,CHLORG,POLYCHLORINATED BIPHENYLS (PCBS),1336-36-3,M,UNI EN 1948-06,CEN/ISO,30.8,KGM,0.0,KGM,0,NULL,1,2927046,66,5,1,NULL
962460,7019,AIR,GRHGAS,CO2,124-38-9,C,ETS,ETS,1.07E10,KGM,0.0,KGM,0,NULL,1,2927043,10,1,2,NULL
962460,7019,AIR,OTHGAS,FLUORINE AND INORGANIC COMPOUNDS,NULL,M,NRB (D.M. 25/08/00 All. 2),NRB,20100.0,KGM,0.0,KGM,0,NULL,1,2927072,24,2,1,NULL
962460,7019,AIR,HEVMET,CD AND COMPOUNDS,NULL,M,NRB (D.M. 25/08/00 App. 1),NRB,137.0,KGM,0.0,KGM,0,NULL,1,2927073,27,3,1,NULL
962460,7019,AIR,OTHGAS,NOX,NULL,M,NRB (D.M. 25/08/00 All. 1),NRB,1.25E7,KGM,0.0,KGM,0,NULL,1,2927062,18,2,1,NULL
962460,7019,AIR,OTHGAS,SOX,NULL,M,NRB (D.M. 25/08/00 All. 1),NRB,1.27E7,KGM,0.0,KGM,0,NULL,1,2927063,19,2,1,NULL
962460,7019,AIR,HEVMET,AS AND COMPOUNDS,NULL,M,NRB (D.M. 25/08/00 App. 1),NRB,177.0,KGM,0.0,KGM,0,NULL,1,2927064,26,3,1,NULL
962460,7019,AIR,OTHGAS,CO,630-08-0,M,NRB (M. UNICHIM n° 542),NRB,2.48E8,KGM,0.0,KGM,0,NULL,1,2927074,15,2,1,NULL
962460,7019,AIR,HEVMET,NI AND COMPOUNDS,NULL,M,NRB (D.M. 25/08/00 App. 1),NRB,489.0,KGM,0.0,KGM,0,NULL,1,2927068,31,3,1,NULL
962460,7019,AIR,HEVMET,PB AND COMPOUNDS,NULL,M,NRB (D.M. 25/08/00 App. 1),NRB,11200.0,KGM,0.0,KGM,0,NULL,1,2927069,32,3,1,NULL
962460,7019,AIR,HEVMET,ZN AND COMPOUNDS,NULL,M,NRB (D.M. 25/08/00 App. 1),NRB,36000.0,KGM,0.0,KGM,0,NULL,1,2927070,33,3,1,NULL
962460,7019,AIR,OTHGAS,CHLORINE AND INORGANIC COMPOUNDS,NULL,M,NRB (D.M. 25/08/00 All. 2),NRB,457000.0,KGM,0.0,KGM,0,NULL,1,2927071,23,2,1,NULL
965225,7019,AIR,HEVMET,PB AND COMPOUNDS,NULL,M,NRB(DM 25/08/00 App.1),NRB,5870.0,KGM,0.0,KGM,0,NULL,1,2936293,32,3,1,NULL
965225,7019,AIR,HEVMET,ZN AND COMPOUNDS,NULL,M,NRB(DM 25/08/00 App.1),NRB,27200.0,KGM,0.0,KGM,0,NULL,1,2936294,33,3,1,NULL
965225,7019,AIR,CHLORG,PCDD+PCDF (DIOXINS+FURANS),NULL,M,UNI EN 1948-06,OTH,0.0272,KGM,0.0,KGM,0,NULL,1,2936295,63,5,1,NULL
965225,7019,AIR,CHLORG,POLYCHLORINATED BIPHENYLS (PCBS),1336-36-3,M,UNI EN 1948-06,OTH,7.6,KGM,0.0,KGM,0,NULL,1,2936296,66,5,1,NULL
965225,7019,AIR,OTHORG,POLYCYCLIC AROMATIC HYDROCARBONS,NULL,M,NRB(DM 25/08/00 All.3),NRB,200.0,KGM,0.0,KGM,0,NULL,1,2936297,84,6,1,NULL
965225,7019,AIR,OTHGAS,CHLORINE AND INORGANIC COMPOUNDS,NULL,M,NRB(DM 25/08/00 All.2),NRB,243000.0,KGM,0.0,KGM,0,NULL,1,2936298,23,2,1,NULL
965225,7019,AIR,HEVMET,AS AND COMPOUNDS,NULL,M,NRB(DM 25/08/00 App.1),NRB,117.0,KGM,0.0,KGM,0,NULL,1,2936287,26,3,1,NULL
965225,7019,AIR,HEVMET,CD AND COMPOUNDS,NULL,M,NRB(DM 25/08/00 App.1),NRB,80.6,KGM,0.0,KGM,0,NULL,1,2936288,27,3,1,NULL
965225,7019,AIR,HEVMET,CR AND COMPOUNDS,NULL,M,NRB(DM 25/08/00 App.1),NRB,423.0,KGM,0.0,KGM,0,NULL,1,2936289,28,3,1,NULL
965225,7019,AIR,HEVMET,CU AND COMPOUNDS,NULL,M,NRB(DM 25/08/00 App.1),NRB,1120.0,KGM,0.0,KGM,0,NULL,1,2936290,29,3,1,NULL
965225,7019,AIR,HEVMET,HG AND COMPOUNDS,NULL,M,NRB(DM 25/08/00 App.1),NRB,12.6,KGM,0.0,KGM,0,NULL,1,2936291,30,3,1,NULL
965225,7019,AIR,HEVMET,NI AND COMPOUNDS,NULL,M,NRB(DM 25/08/00 App.1),NRB,339.0,KGM,0.0,KGM,0,NULL,1,2936292,31,3,1,NULL
965225,7019,AIR,OTHGAS,CO,630-08-0,M,NRB(M. UNICHIM n° 542),NRB,1.06E8,KGM,0.0,KGM,0,NULL,1,2936283,15,2,1,NULL
965225,7019,AIR,OTHGAS,NMVOC,NULL,M,UNI EN13649,OTH,497000.0,KGM,0.0,KGM,0,NULL,1,2936285,17,2,1,NULL
965225,7019,AIR,OTHGAS,SOX,NULL,M,NRB(DM 25/08/00 All.1),NRB,4320000.0,KGM,0.0,KGM,0,NULL,1,2936286,19,2,1,NULL
965225,7019,AIR,GRHGAS,CO2,124-38-9,C,ETS,ETS,5.16E9,KGM,0.0,KGM,0,NULL,1,2936284,10,1,2,NULL
965225,7019,AIR,OTHGAS,FLUORINE AND INORGANIC COMPOUNDS,NULL,M,NRB(DM 25/08/00 All.2),NRB,14500.0,KGM,0.0,KGM,0,NULL,1,2936299,24,2,1,NULL
965225,7019,AIR,OTHGAS,NOX,NULL,M,NRB(DM 25/08/00 All.1),NRB,5440000.0,KGM,0.0,KGM,0,NULL,1,2936301,18,2,1,NULL
968109,7019,AIR,OTHGAS,FLUORINE AND INORGANIC COMPOUNDS,NULL,M,NRB(DM 25/08/00 All.2),NRB,20100.0,KGM,0.0,KGM,0,NULL,1,2945665,24,2,1,NULL
968109,7019,AIR,HEVMET,PB AND COMPOUNDS,NULL,M,NRB(DM 25/08/00 App.1),NRB,9020.0,KGM,0.0,KGM,0,NULL,1,2945659,32,3,1,NULL
968109,7019,AIR,HEVMET,ZN AND COMPOUNDS,NULL,M,NRB(DM 25/08/00 App.1),NRB,23700.0,KGM,0.0,KGM,0,NULL,1,2945660,33,3,1,NULL
968109,7019,AIR,CHLORG,PCDD+PCDF (DIOXINS+FURANS),NULL,M,UNI EN 1948-06,OTH,0.0156,KGM,0.0,KGM,0,NULL,1,2945661,63,5,1,NULL
968109,7019,AIR,OTHORG,POLYCYCLIC AROMATIC HYDROCARBONS,NULL,M,NRB(DM 25/08/00 All.3),NRB,338.0,KGM,0.0,KGM,0,NULL,1,2945662,84,6,1,NULL
968109,7019,AIR,OTHORG,BENZENE,71-43-2,M,UNI EN 13649,OTH,1250.0,KGM,0.0,KGM,0,NULL,1,2945663,89,6,1,NULL
