FacilityReportID,WasteTransferID,WasteTypeCode,WasteTreatmentCode,WHPCountryID,WHPCountryCode,ConfidentialIndicator,ConfidentialCode,LOV_WasteTypeID,LOV_WasteTreatmentID,LOV_ConfidentialityID
959784,1614955,NON-HW,R,NULL,NULL,0,NULL,2,1,NULL
959784,1614956,NON-HW,D,NULL,NULL,0,NULL,2,2,NULL
962460,1620423,NON-HW,D,NULL,NULL,0,NULL,2,2,NULL
962460,1620427,NON-HW,D,NULL,NULL,0,NULL,2,2,NULL
962460,1620428,NON-HW,R,NULL,NULL,0,NULL,2,1,NULL
962460,1620432,NON-HW,R,NULL,NULL,0,NULL,2,1,NULL
965225,1625900,NON-HW,R,NULL,NULL,0,NULL,2,1,NULL
965225,1625901,NON-HW,D,NULL,NULL,0,NULL,2,2,NULL
968109,1631765,NON-HW,R,NULL,NULL,0,NULL,2,1,NULL
968109,1631766,NON-HW,D,NULL,NULL,0,NULL,2,2,NULL
971094,1637944,NON-HW,R,NULL,NULL,0,NULL,2,1,NULL
971094,1637945,NON-HW,D,NULL,NULL,0,NULL,2,2,NULL
974127,1644176,NON-HW,R,NULL,NULL,0,NULL,2,1,NULL
974127,1644177,NON-HW,D,NULL,NULL,0,NULL,2,2,NULL
977567,1651094,NON-HW,D,NULL,NULL,0,NULL,2,2,NULL
977567,1651097,NON-HW,R,NULL,NULL,0,NULL,2,1,NULL
959784,1614953,HWIC,R,NULL,NULL,0,NULL,3,1,NULL
959784,1614954,HWIC,D,NULL,NULL,0,NULL,3,2,NULL
962460,1620424,HWIC,R,NULL,NULL,0,NULL,3,1,NULL
962460,1620425,HWIC,D,NULL,NULL,0,NULL,3,2,NULL
962460,1620429,HWIC,D,NULL,NULL,0,NULL,3,2,NULL
962460,1620431,HWIC,R,NULL,NULL,0,NULL,3,1,NULL
965225,1625898,HWIC,R,NULL,NULL,0,NULL,3,1,NULL
965225,1625899,HWIC,D,NULL,NULL,0,NULL,3,2,NULL
968109,1631763,HWIC,R,NULL,NULL,0,NULL,3,1,NULL
968109,1631764,HWIC,D,NULL,NULL,0,NULL,3,2,NULL
971094,1637942,HWIC,R,NULL,NULL,0,NULL,3,1,NULL
971094,1637943,HWIC,D,NULL,NULL,0,NULL,3,2,NULL
974127,1644174,HWIC,R,NULL,NULL,0,NULL,3,1,NULL
974127,1644175,HWIC,D,NULL,NULL,0,NULL,3,2,NULL
977567,1651095,HWIC,R,NULL,NULL,0,NULL,3,1,NULL
977567,1651096,HWIC,D,NULL,NULL,0,NULL,3,2,NULL
962460,1620426,HWOC,R,213,SE,0,NULL,4,1,NULL
962460,1620430,HWOC,R,213,SE,0,NULL,4,1,NULL
