ReportingYear,LOV_CountryID,ForReview,Published
2014,234,2016-05-25 02:24:00,2016-05-30 01:01:00
2014,214,2016-04-21 21:26:00,2016-05-30 01:01:00
2014,213,2016-04-21 21:26:00,2016-05-30 01:01:00
2014,207,2016-04-22 20:37:00,2016-05-30 01:01:00
2014,202,2016-04-21 21:26:00,2016-05-30 01:01:00
2014,201,2016-04-21 21:26:00,2016-05-30 01:01:00
2014,197,2016-04-21 21:26:00,2016-05-30 01:01:00
2014,182,2016-04-21 21:26:00,2016-05-30 01:01:00
2014,178,2016-05-25 02:24:00,2016-05-30 01:01:00
2014,177,2016-04-21 21:26:00,2016-05-30 01:01:00
2014,166,2016-04-21 21:26:00,2016-05-30 01:01:00
2014,156,2016-04-21 21:26:00,2016-05-30 01:01:00
2014,137,2016-05-25 02:24:00,2016-05-30 01:01:00
2014,129,2016-04-21 21:26:00,2016-05-30 01:01:00
2014,128,2016-04-21 21:26:00,2016-05-30 01:01:00
2014,127,2016-04-21 21:26:00,2016-05-30 01:01:00
2014,122,2016-04-21 21:26:00,2016-05-30 01:01:00
2014,109,2016-05-25 02:24:00,2016-05-30 01:01:00
2014,106,2016-05-25 02:24:00,2016-05-30 01:01:00
2014,101,2016-05-25 02:24:00,2016-05-30 01:01:00
2014,100,2016-05-25 02:24:00,2016-05-30 01:01:00
2014,84,2016-04-21 21:26:00,2016-05-30 01:01:00
2014,81,2016-04-21 21:26:00,2016-05-30 01:01:00
2014,74,2016-04-21 21:26:00,2016-05-30 01:01:00
2014,73,2016-04-21 21:26:00,2016-05-30 01:01:00
2014,68,2016-04-25 20:57:00,2016-05-30 01:01:00
2014,59,2016-04-21 21:26:00,2016-05-30 01:01:00
2014,58,2016-05-25 02:24:00,2016-05-30 01:01:00
2014,57,2016-04-21 21:26:00,2016-05-30 01:01:00
2014,55,2016-05-25 02:24:00,2016-05-30 01:01:00
2014,34,2016-05-25 02:24:00,2016-05-30 01:01:00
2014,22,2016-05-25 02:24:00,2016-05-30 01:01:00
2014,15,2016-04-21 21:26:00,2016-05-30 01:01:00
2013,234,2016-04-21 21:26:00,2016-05-30 01:01:00
2013,214,2016-04-21 21:26:00,2016-05-30 01:01:00
2013,213,2016-04-21 21:26:00,2016-05-30 01:01:00
2013,207,2016-05-04 03:55:00,2016-05-30 01:01:00
2013,202,2015-04-16 14:48:00,2010-01-01 01:01:00
2013,201,2015-04-16 14:48:00,2010-01-01 01:01:00
2013,197,2015-04-16 14:48:00,2010-01-01 01:01:00
2013,182,2016-04-21 21:26:00,2016-05-30 01:01:00
2013,178,2016-05-25 02:24:00,2016-05-30 01:01:00
2013,177,2016-04-21 21:26:00,2016-05-30 01:01:00
2013,166,2015-04-16 14:48:00,2010-01-01 01:01:00
2013,156,2015-12-09 15:17:00,2016-02-02 00:00:00
2013,137,2015-04-16 14:48:00,2010-01-01 01:01:00
2013,129,2016-04-21 21:26:00,2016-05-30 01:01:00
2013,128,2016-05-25 02:24:00,2016-05-30 01:01:00
2013,127,2015-04-16 14:48:00,2010-01-01 01:01:00
2013,122,2015-04-16 14:48:00,2010-01-01 01:01:00
2013,109,2016-05-25 02:24:00,2016-05-30 01:01:00
2013,106,2016-04-21 21:26:00,2016-05-30 01:01:00
2013,101,2016-05-25 02:24:00,2016-05-30 01:01:00
2013,100,2016-05-25 02:24:00,2016-05-30 01:01:00
2013,84,2016-04-21 21:26:00,2016-05-30 01:01:00
2013,81,2016-04-21 21:26:00,2016-05-30 01:01:00
2013,74,2016-04-21 21:26:00,2016-05-30 01:01:00
2013,73,2016-04-21 21:26:00,2016-05-30 01:01:00
2013,68,2015-04-16 14:48:00,2010-01-01 01:01:00
2013,59,2016-04-21 21:26:00,2016-05-30 01:01:00
2013,58,2016-04-21 21:26:00,2016-05-30 01:01:00
2013,57,2016-04-21 21:26:00,2016-05-30 01:01:00
2013,34,2016-04-21 21:26:00,2016-05-30 01:01:00
2013,22,2016-04-21 21:26:00,2016-05-30 01:01:00
2013,15,2016-04-21 21:26:00,2016-05-30 01:01:00
