LOV_AnnexIActivityID,Code,Name,StartYear,EndYear,ParentID,IPPCCode,eperAnnex3_ID
1,1,Energy sector,2007,NULL,NULL,NULL,NULL
2,2,Productiona and processing of metals,2007,NULL,NULL,NULL,NULL
3,3,Mineral industry,2007,NULL,NULL,NULL,NULL
4,4,Chemical industry,2007,NULL,NULL,NULL,NULL
5,5,Waste and waste water management,2007,NULL,NULL,NULL,NULL
6,6,Paper and wood production processing,2007,NULL,NULL,NULL,NULL
7,7,Intensive livestock production and aquaculture,2007,NULL,NULL,NULL,NULL
8,8,Animal and vegetable products from the food and beverage sector,2007,NULL,NULL,NULL,NULL
9,9,Other activities,2007,NULL,NULL,NULL,NULL
10,1.(a),Mineral oil and gas refineries,2007,NULL,1,1.2,NULL
11,1.(b),Installations for gasification and liquefaction,2007,NULL,1,1.4,NULL
12,1.(c),Thermal power stations and other combustion installations,2007,NULL,1,1.1,NULL
13,1.(d),Coke ovens,2007,NULL,1,1.3,NULL
14,1.(e),Coal rolling mills,2007,NULL,1,NULL,NULL
15,1.(f),Installations for the manufacture of coal products and solid smokeless fuel,2007,NULL,1,NULL,NULL
16,2.(a),Metal ore (including sulphide ore) roasting or sintering installations,2007,NULL,2,2.1,NULL
17,2.(b),Installations for the production of pig iron or steel (primary or secondary melting) including continuous casting,2007,NULL,2,2.2,NULL
18,2.(c),Installations for the processing of ferrous metals,2007,NULL,2,2.3,NULL
19,2.(d),Ferrous metal foundries,2007,NULL,2,2.4,NULL
20,2.(e),Installations:,2007,NULL,2,2.5,NULL
21,2.(f),Installations for surface treatment of metals and plastic materials using an electrolytic or chemical process,2007,NULL,2,2.6,NULL
22,3.(a),Underground mining and related operations,2007,NULL,3,NULL,NULL
23,3.(b),Opencast mining and quarrying,2007,NULL,3,NULL,NULL
24,3.(c),Installations for the production of:,2007,NULL,3,3.1,NULL
25,3.(d),Installations for the production of asbestos and the manufacture of asbestos-based products,2007,NULL,3,3.2,NULL
26,3.(e),"Installations for the manufacture of glass, including glass fibre",2007,NULL,3,3.3,NULL
27,3.(f),"Installations for melting mineral substances, including the production of mineral fibres",2007,NULL,3,3.4,NULL
28,3.(g),"Installations for the manufacture of ceramic products by firing, in particular roofing tiles, bricks, refractory bricks, tiles, stoneware or porcelain",2007,NULL,3,3.5,NULL
29,4.(a),"Chemical installations for the production on an industrial scale of basic organic chemicals, such as:",2007,NULL,4,4.1,NULL
30,4.(b),"Chemical installations for the production on an industrial scale of basic inorganic chemicals, such as:",2007,NULL,4,4.2,NULL
31,4.(c),"Chemical installations for the production on an industrial scale of phosphorous-, nitrogen- or potassium-based fertilisers (simple or compound fertilisers)",2007,NULL,4,4.3,NULL
32,4.(d),Chemical installations for the production on an industrial scale of basic plant health products and of biocides,2007,NULL,4,4.4,NULL
33,4.(e),Installations using a chemical or biological process for the production on an industrial scale of basic pharmaceutical products,2007,NULL,4,4.5,NULL
34,4.(f),Installations for the production on an industrial scale of explosives and pyrotechnic products,2007,NULL,4,4.6,NULL
35,5.(a),Installations for the recovery or disposal of hazardous waste,2007,NULL,5,5.1,NULL
36,5.(b),Installations for the incineration of non-hazardous waste in the scope of Directive 2000/76/EC of the European Parliament and of the Council of 4 December 2000 on the incineration of waste,2007,NULL,5,5.2,NULL
37,5.(c),Installations for the disposal of non-hazardous waste,2007,NULL,5,5.3,NULL
38,5.(d),Landfills (see note in Guidance Document),2007,NULL,5,5.4,NULL
39,5.(e),Installations for the disposal or recycling of animal carcasses and animal waste,2007,NULL,5,6.5,NULL
40,5.(f),Urban waste-water treatment plants,2007,NULL,5,NULL,NULL
41,5.(g),Independently operated industrial waste-water treatment plants which serve one or more activities of this annex,2007,NULL,5,NULL,NULL
42,6.(a),Industrial plants for the production of pulp from timber or similar fibrous materials,2007,NULL,6,6.1.(a),NULL
43,6.(b),Industrial plants for the production of paper and board and other primary wood products,2007,NULL,6,6.1.(b),NULL
44,6.(c),Industrial plants for the preservation of wood and wood products with chemicals,2007,NULL,6,NULL,NULL
45,7.(a),Installations for the intensive rearing of poultry or pigs,2007,NULL,7,6.6,NULL
46,7.(b),Intensive aquaculture,2007,NULL,7,NULL,NULL
47,8.(a),Slaughterhouses,2007,NULL,8,6.4.(a),NULL
48,8.(b),Treatment and processing intended for the production of food and beverage products from:,2007,NULL,8,6.4.(b),NULL
49,8.(c),Treatment and processing of milk,2007,NULL,8,6.4.(c),NULL
50,9.(a),"Plants for the pre-treatment (operations such as washing, bleaching, mercerisation) or dyeing of fibres or textiles",2007,NULL,9,6.2,NULL
51,9.(b),Plants for the tanning of hides and skins,2007,NULL,9,6.3,NULL
52,9.(c),"Installations for the surface treatment of substances, objects or products using organic solvents, in particular for dressing, printing, coating, degreasing, waterproofing, sizing, painting, cleaning or impregnating",2007,NULL,9,6.7,NULL
