LOV_NACEActivityID,Code,Name,StartYear,EndYear,ParentID
1,01,"Crop and animal production, hunting and related service activities",2007,NULL,NULL
2,02,Forestry and logging,2007,NULL,NULL
3,03,Fishing and aquaculture,2007,NULL,NULL
4,05,Mining of coal and lignite,2007,NULL,NULL
5,06,Extraction of crude petroleum and natural gas,2007,NULL,NULL
6,07,Mining of metal ores,2007,NULL,NULL
7,08,Other mining and quarrying,2007,NULL,NULL
8,09,Mining support service activities,2007,NULL,NULL
9,10,Manufacture of food products,2007,NULL,NULL
10,11,Manufacture of beverages,2007,NULL,NULL
11,12,Manufacture of tobacco products,2007,NULL,NULL
12,13,Manufacture of textiles,2007,NULL,NULL
13,14,Manufacture of wearing apparel,2007,NULL,NULL
14,15,Manufacture of leather and related products,2007,NULL,NULL
15,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",2007,NULL,NULL
16,17,Manufacture of paper and paper products,2007,NULL,NULL
17,18,Printing and reproduction of recorded media,2007,NULL,NULL
18,19,Manufacture of coke and reined petroleum products,2007,NULL,NULL
19,20,Manufacture of chemicals and chemical products,2007,NULL,NULL
20,21,Manufacture of basic pharmaceutical products and pharmaceutical preparations,2007,NULL,NULL
21,22,Manufacture of rubber and plastic products,2007,NULL,NULL
22,23,Manufacture of other non-metallic mineral products,2007,NULL,NULL
23,24,Manufacture of basic metals,2007,NULL,NULL
24,25,"Manufacture of fabricated metal products, except machinery and equipment",2007,NULL,NULL
25,26,"Manufacture of computer, electronic and optical products",2007,NULL,NULL
26,27,Manufacture of electrical equipment,2007,NULL,NULL
27,28,Manufacture of machinery and equipment n.e.c.,2007,NULL,NULL
28,29,"Manufacture of motor vehicles, trailers and semi-trailers",2007,NULL,NULL
29,30,Manufacture of other transport equipment,2007,NULL,NULL
30,31,Manufacture of furniture,2007,NULL,NULL
31,32,Other manufacturing,2007,NULL,NULL
32,33,Repair and installation of machinery and equipment,2007,NULL,NULL
33,35,"Electricity, gas, steam and air conditioning supply",2007,NULL,NULL
34,36,"Water collection, treatment and supply",2007,NULL,NULL
35,37,Sewerage,2007,NULL,NULL
36,38,"Waste collection, treatment and disposal activities; materials recovery",2007,NULL,NULL
37,39,Remediation activities and other waste management services,2007,NULL,NULL
38,41,Construction of buildings,2007,NULL,NULL
39,42,Civil engineering,2007,NULL,NULL
40,43,Specialised construction activities,2007,NULL,NULL
41,45,Wholesale and retail trade and repair of motor vehicles and motorcycles,2007,NULL,NULL
42,46,"Wholesale trade, except of motor vehicles and motorcycles",2007,NULL,NULL
43,47,"Retail trade, except of motor vehicles and motorcycles",2007,NULL,NULL
44,49,Land transport and transport via pipelines,2007,NULL,NULL
45,50,Water transport,2007,NULL,NULL
46,51,Air transport,2007,NULL,NULL
47,52,Warehousing and support activities for transportation,2007,NULL,NULL
48,53,Postal and courier activities,2007,NULL,NULL
49,55,Accommodation,2007,NULL,NULL
50,56,Food and beverage service activities,2007,NULL,NULL
51,58,Publishing activities,2007,NULL,NULL
52,59,"Motion picture, video and television programme production, sound recording and music publishing activities",2007,NULL,NULL
53,60,Programming and broadcasting activities,2007,NULL,NULL
54,61,Telecommunications,2007,NULL,NULL
55,62,"Computer programming, consultancy and related activities",2007,NULL,NULL
56,63,Information service activities,2007,NULL,NULL
57,64,"Financial service activities, except insurance and pension funding",2007,NULL,NULL
58,65,"Insurance, reinsurance and pension funding, except compulsory social security",2007,NULL,NULL
59,66,Activities auxiliary to financial services and insurance activities,2007,NULL,NULL
60,68,Real estate activities,2007,NULL,NULL
61,69,Legal and accounting activities,2007,NULL,NULL
62,70,Activities of head offices; management consultancy activities,2007,NULL,NULL
63,71,Architectural and engineering activities; technical testing and analysis,2007,NULL,NULL
64,72,Scientific research and development,2007,NULL,NULL
65,73,Advertising and market research,2007,NULL,NULL
66,74,"Other professional, scientiic and technical activities",2007,NULL,NULL
67,75,Veterinary activities,2007,NULL,NULL
68,77,Rental and leasing activities,2007,NULL,NULL
69,78,Employment activities,2007,NULL,NULL
70,79,"Travel agency, tour operator and other reservation service and related activities",2007,NULL,NULL
71,80,Security and investigation activities,2007,NULL,NULL
72,81,Services to buildings and landscape activities,2007,NULL,NULL
73,82,"Office administrative, office support and other business support activities",2007,NULL,NULL
74,84,Public administration and defence; compulsory social security,2007,NULL,NULL
75,85,Education,2007,NULL,NULL
76,86,Human health activities,2007,NULL,NULL
77,87,Residential care activities,2007,NULL,NULL
78,88,Social work activities without accommodation,2007,NULL,NULL
79,90,"Creative, arts and entertainment activities",2007,NULL,NULL
80,91,"Libraries, archives, museums and other cultural activities",2007,NULL,NULL
81,92,Gambling and betting activities,2007,NULL,NULL
82,93,Sports activities and amusement and recreation activities,2007,NULL,NULL
83,94,Activities of membership organisations,2007,NULL,NULL
84,95,Repair of computers and personal and household goods,2007,NULL,NULL
85,96,Other personal service activities,2007,NULL,NULL
86,97,Activities of households as employers of domestic personnel,2007,NULL,NULL
87,98,Undifferentiated goods- and services-producing activities of private households for own use,2007,NULL,NULL
88,99,Activities of extraterritorial organisations and bodies,2007,NULL,NULL
89,01.1,Growing of non-perennial crops,2007,NULL,1
90,01.2,Growing of perennial crops,2007,NULL,1
91,01.3,Plant propagation,2007,NULL,1
92,01.4,Animal Production,2007,NULL,1
93,01.5,Mixed farming,2007,NULL,1
94,01.6,Support activities to agriculture and post-harvest crop activities,2007,NULL,1
95,01.7,"Hunting, trapping and related service activities",2007,NULL,1
96,02.1,Silviculture and other forestry activities,2007,NULL,2
97,02.2,Logging,2007,NULL,2
98,02.3,Gathering of wild growing non-wood products,2007,NULL,2
99,02.4,Support services to forestry,2007,NULL,2
100,03.1,Fishing,2007,NULL,3
101,03.2,Aquaculture,2007,NULL,3
102,05.1,Mining of hard coal,2007,NULL,4
103,05.2,Mining of lignite,2007,NULL,4
104,06.1,Extraction of crude petroleum,2007,NULL,5
105,06.2,Extraction of natural gas,2007,NULL,5
106,07.1,Mining of iron ores,2007,NULL,6
107,07.2,Mining of non-ferrous metal ores,2007,NULL,6
108,08.1,"Quarrying of stone, sand and clay",2007,NULL,7
109,08.9,Mining and quarrying n.e.c.,2007,NULL,7
110,09.1,Support activities for petroleum and natural gas extraction,2007,NULL,8
