LOV_PollutantThresholdID,LOV_PollutantID,LOV_MediumID,Threshold,StartYear,EndYear
1,9,1,100000.0,2007,NULL
2,10,1,1.0E8,2007,NULL
3,11,1,100.0,2007,NULL
4,12,1,10000.0,2007,NULL
5,13,1,100.0,2007,NULL
6,14,1,50.0,2007,NULL
7,15,1,500000.0,2007,NULL
8,16,1,10000.0,2007,NULL
9,17,1,100000.0,2007,NULL
10,18,1,100000.0,2007,NULL
11,19,1,150000.0,2007,NULL
12,20,1,1.0,2007,NULL
13,21,1,1.0,2007,NULL
14,22,1,1.0,2007,NULL
15,23,1,10000.0,2007,NULL
16,24,1,5000.0,2007,NULL
17,25,1,200.0,2007,NULL
18,26,1,20.0,2007,NULL
19,26,3,5.0,2007,NULL
20,26,4,5.0,2007,NULL
21,26,2,5.0,2007,NULL
22,27,1,10.0,2007,NULL
23,27,3,5.0,2007,NULL
24,27,4,5.0,2007,NULL
25,27,2,5.0,2007,NULL
26,28,1,100.0,2007,NULL
27,28,3,50.0,2007,NULL
28,28,4,50.0,2007,NULL
29,28,2,50.0,2007,NULL
30,29,1,100.0,2007,NULL
31,29,3,50.0,2007,NULL
32,29,4,50.0,2007,NULL
33,29,2,50.0,2007,NULL
34,30,1,10.0,2007,NULL
35,30,3,1.0,2007,NULL
36,30,4,1.0,2007,NULL
37,30,2,1.0,2007,NULL
38,31,1,50.0,2007,NULL
39,31,3,20.0,2007,NULL
40,31,4,20.0,2007,NULL
41,31,2,20.0,2007,NULL
42,32,1,200.0,2007,NULL
43,32,3,20.0,2007,NULL
44,32,4,20.0,2007,NULL
45,32,2,20.0,2007,NULL
46,33,1,200.0,2007,NULL
47,33,3,100.0,2007,NULL
48,33,4,100.0,2007,NULL
49,33,2,100.0,2007,NULL
50,34,3,1.0,2007,NULL
51,34,4,1.0,2007,NULL
52,34,2,1.0,2007,NULL
53,35,1,1.0,2007,NULL
54,35,3,1.0,2007,NULL
55,35,4,1.0,2007,NULL
56,35,2,1.0,2007,NULL
57,36,3,1.0,2007,NULL
58,36,4,1.0,2007,NULL
59,36,2,1.0,2007,NULL
60,37,1,1.0,2007,NULL
61,37,3,1.0,2007,NULL
62,37,4,1.0,2007,NULL
63,37,2,1.0,2007,NULL
64,38,1,1.0,2007,NULL
65,38,3,1.0,2007,NULL
66,38,4,1.0,2007,NULL
67,38,2,1.0,2007,NULL
68,39,3,1.0,2007,NULL
69,39,4,1.0,2007,NULL
70,39,2,1.0,2007,NULL
71,40,3,1.0,2007,NULL
72,40,4,1.0,2007,NULL
73,40,2,1.0,2007,NULL
74,41,1,1.0,2007,NULL
75,41,3,1.0,2007,NULL
76,41,4,1.0,2007,NULL
77,41,2,1.0,2007,NULL
78,42,1,1.0,2007,NULL
79,42,3,1.0,2007,NULL
80,42,4,1.0,2007,NULL
81,42,2,1.0,2007,NULL
82,43,3,1.0,2007,NULL
83,43,4,1.0,2007,NULL
84,43,2,1.0,2007,NULL
85,44,3,1.0,2007,NULL
86,44,4,1.0,2007,NULL
87,44,2,1.0,2007,NULL
88,45,1,1.0,2007,NULL
89,45,3,1.0,2007,NULL
90,45,4,1.0,2007,NULL
91,45,2,1.0,2007,NULL
92,46,1,1.0,2007,NULL
93,46,3,1.0,2007,NULL
94,46,4,1.0,2007,NULL
95,46,2,1.0,2007,NULL
96,47,1,10.0,2007,NULL
97,47,3,1.0,2007,NULL
98,47,4,1.0,2007,NULL
99,47,2,1.0,2007,NULL
100,48,1,1.0,2007,NULL
101,48,3,1.0,2007,NULL
102,48,4,1.0,2007,NULL
103,48,2,1.0,2007,NULL
104,49,1,1.0,2007,NULL
105,49,3,1.0,2007,NULL
106,49,4,1.0,2007,NULL
107,49,2,1.0,2007,NULL
108,50,3,1.0,2007,NULL
109,50,4,1.0,2007,NULL
110,50,2,1.0,2007,NULL
111,51,1,1.0,2007,NULL
112,51,3,1.0,2007,NULL
113,51,4,1.0,2007,NULL
114,51,2,1.0,2007,NULL
115,52,3,1.0,2007,NULL
116,52,4,1.0,2007,NULL
117,52,2,1.0,2007,NULL
118,53,3,1.0,2007,NULL
119,53,4,1.0,2007,NULL
120,53,2,1.0,2007,NULL
121,54,3,1.0,2007,NULL
122,54,4,1.0,2007,NULL
123,54,2,1.0,2007,NULL
124,55,3,1.0,2007,NULL
125,55,4,1.0,2007,NULL
126,55,2,1.0,2007,NULL
127,56,3,1.0,2007,NULL
128,56,4,1.0,2007,NULL
129,57,3,1.0,2007,NULL
130,57,4,1.0,2007,NULL
131,57,2,1.0,2007,NULL
132,58,1,1000.0,2007,NULL
133,58,3,10.0,2007,NULL
134,58,4,10.0,2007,NULL
135,58,2,10.0,2007,NULL
136,59,1,1000.0,2007,NULL
137,59,3,10.0,2007,NULL
138,59,4,10.0,2007,NULL
139,59,2,10.0,2007,NULL
140,60,3,1000.0,2007,NULL
141,60,4,1000.0,2007,NULL
142,60,2,1000.0,2007,NULL
143,61,1,10.0,2007,NULL
144,61,3,1.0,2007,NULL
145,61,4,1.0,2007,NULL
146,61,2,1.0,2007,NULL
147,62,3,1.0,2007,NULL
148,62,4,1.0,2007,NULL
149,62,2,1.0,2007,NULL
150,63,1,1.0E-4,2007,NULL
151,63,3,1.0E-4,2007,NULL
152,63,4,1.0E-4,2007,NULL
153,63,2,1.0E-4,2007,NULL
154,64,1,1.0,2007,NULL
155,64,3,1.0,2007,NULL
156,64,4,1.0,2007,NULL
157,64,2,1.0,2007,NULL
158,65,1,10.0,2007,NULL
159,65,3,1.0,2007,NULL
160,65,4,1.0,2007,NULL
161,65,2,1.0,2007,NULL
162,66,1,0.1,2007,NULL
163,66,3,0.1,2007,NULL
164,66,4,0.1,2007,NULL
165,66,2,0.1,2007,NULL
166,67,1,2000.0,2007,NULL
167,67,3,10.0,2007,NULL
168,67,4,10.0,2007,NULL
169,68,1,100.0,2007,NULL
170,68,3,1.0,2007,NULL
171,68,4,1.0,2007,NULL
172,69,1,10.0,2007,NULL
173,69,3,1.0,2007,NULL
174,69,4,1.0,2007,NULL
175,70,1,100.0,2007,NULL
176,71,1,50.0,2007,NULL
177,72,1,2000.0,2007,NULL
178,72,3,10.0,2007,NULL
179,72,4,10.0,2007,NULL
180,73,1,500.0,2007,NULL
181,73,3,10.0,2007,NULL
182,73,4,10.0,2007,NULL
183,74,1,1000.0,2007,NULL
184,74,3,10.0,2007,NULL
185,74,4,10.0,2007,NULL
186,74,2,10.0,2007,NULL
