LOV_RiverBasinDistrictID,Code,Name,StartYear,EndYear,LOV_CountryID
1,CH90,Adige,2007,NULL,214
2,FRF,"Adour, Garonne, Dordogne, Charente and coastal waters of Aquitania",2007,NULL,74
3,GR14,Aegean Islands,2007,NULL,84
4,FIWDA,Aland Islands,2007,NULL,73
5,PTRH8,Algarve Basins,2007,NULL,178
6,ES062,Andalusia Atlantic Basins,2007,NULL,207
7,ES060,Andalusia Mediterranean Basins,2007,NULL,207
8,UK05,Anglian,2007,NULL,234
9,GR06,Attica,2007,NULL,84
10,PTRH9,Azores,2007,NULL,178
11,ES110,Balearic Islands,2007,NULL,207
12,ES015,Basque County Internal Basins,2007,NULL,207
13,BG2000,Black Sea Basin District,2007,NULL,34
14,DK3,Bornholm,2007,NULL,59
15,NOSEFI1,Bothnian Bay,2007,NULL,166
16,SE1,Bothnian Bay,2007,NULL,213
17,NOSE2,Bothnian Sea,2007,NULL,166
18,SE2,Bothnian Sea,2007,NULL,213
19,PTRH2,"Cavado, Ave and Leca",2007,NULL,178
20,GR10,Central Macedonia,2007,NULL,84
21,ES150,Ceuta,2007,NULL,207
22,FRE,Corsica,2007,NULL,74
23,GR13,Crete,2007,NULL,84
24,CY001,Cyprus,2007,NULL,57
25,BG1000,Danube Region Basin District,2007,NULL,34
26,AT1000,Danube,2007,NULL,15
27,CH80,Danube,2007,NULL,214
28,CZ_RB_1000,Danube,2007,NULL,58
29,DE1000,Danube,2007,NULL,81
30,HU1000,Danube,2007,NULL,100
31,PL1000,Danube,2007,NULL,177
32,RO1000,Danube,2007,NULL,182
33,SI_RBD_1,Danube,2007,NULL,202
34,SK40000,Danube,2007,NULL,201
35,LT4500,Daugava,2007,NULL,128
36,LVDUBA,Daugava,2007,NULL,122
37,UK11,Dee,2007,NULL,234
38,PL9000,Dniestr,2007,NULL,177
39,PTRH3,Douro,2007,NULL,178
40,ES020,Duero,2007,NULL,207
41,BG3000,East Aegean Region Basin District,2007,NULL,34
42,EE2,East Estonia,2007,NULL,68
43,ITA,Eastern Alps,2007,NULL,109
44,GR11,Eastern Macedonia,2007,NULL,84
45,GR03,Eastern Peloponnese,2007,NULL,84
46,GR07,Eastern Sterea Ellada,2007,NULL,84
47,IEEA,Eastern,2007,NULL,106
48,ES091,Ebro,2007,NULL,207
49,DE9500,Eider,2007,NULL,81
50,ES127,El Hierro,2007,NULL,207
51,AT5000,Elbe,2007,NULL,15
52,CZ_RB_5000,Elbe,2007,NULL,58
53,DE5000,Elbe,2007,NULL,81
54,PL5000,Elbe,2007,NULL,177
55,DE3000,Ems,2007,NULL,81
56,NLEM,Ems,2007,NULL,156
57,GR05,Epirus,2007,NULL,84
58,NO1105,Finnmark,2007,NULL,166
59,ES122,Fuerteventura,2007,NULL,207
60,ES014,Galician Coast,2007,NULL,207
61,EE3,Gauja,2007,NULL,68
62,LVGUBA,Gauja,2007,NULL,122
63,UKGI17,Gibraltar,2007,NULL,234
64,NO5101,Glomma,2007,NULL,166
65,SENO5101,Glomma,2007,NULL,213
66,ES120,Gran Canaria,2007,NULL,207
67,ES050,Guadalquivir,2007,NULL,207
68,FRI,Guadeloupe,2007,NULL,74
69,ES040,Guadiana,2007,NULL,207
70,PTRH7,Guadiana,2007,NULL,178
71,FRK,Guyana (French),2007,NULL,74
72,UK04,Humber,2007,NULL,234
73,ES100,Internal Basins of Catalonia,2007,NULL,207
74,IS1,Iceland,2007,NULL,101
75,PL4000,Jarft,2007,NULL,177
76,ES080,Jucar,2007,NULL,207
77,DK1,Jutland and Funen,2007,NULL,59
78,FIVHA5,Kemijoki,2007,NULL,73
