LOV_PollutantID,Code,Name,StartYear,EndYear,ParentID,CAS,eperPollutant_ID,CodeEPER
1,GRHGAS,Greenhouse gases,2001,NULL,NULL,NULL,NULL,GRHGASEPER
2,OTHGAS,Other gases,2001,NULL,NULL,NULL,NULL,OTHGASEPER
3,HEVMET,Heavy metals,2001,NULL,NULL,NULL,NULL,HEVMETEPER
4,PEST,Pesticides,2007,NULL,NULL,NULL,NULL,NULL
5,CHLORG,Chlorinated organic substances,2001,NULL,NULL,NULL,NULL,CHLORGEPER
6,OTHORG,Other organic substances,2001,NULL,NULL,NULL,NULL,OTHORGEPER
7,INORG,Inorganic substances,2001,NULL,NULL,NULL,NULL,INORGEPER
8,BTEX,BTEX,2001,2004,6,NULL,43,BTEXEPER
9,CH4,Methane (CH4),2001,NULL,1,74-82-8,3,CH4EPER
10,CO2,Carbon dioxide (CO2),2007,NULL,1,124-38-9,5,NULL
11,HFCS,Hydro-fluorocarbons (HFCs),2001,NULL,1,NULL,6,HFCSEPER
12,N2O,Nitrous oxide (N2O),2001,NULL,1,10024-97-2,7,N2OEPER
13,PFCS,Perfluorocarbons (PFCs),2001,NULL,1,NULL,11,PFCSEPER
14,SF6,Sulphur hexafluoride (SF6),2001,NULL,1,2551-62-4,12,SF6EPER
15,CO,Carbon monoxide (CO),2001,NULL,2,630-08-0,4,COEPER
16,NH3,Ammonia (NH3),2001,NULL,2,7664-41-7,8,NH3EPER
17,NMVOC,Non-methane volatile organic compounds (NMVOC),2001,NULL,2,NULL,9,NMVOCEPER
18,NOX,Nitrogen oxides (NOx/NO2),2001,NULL,2,NULL,10,NOXEPER
19,SOX,Sulphur oxides (SOx/SO2),2001,NULL,2,NULL,13,SOXEPER
20,HCFCS,Hydrochlorofluorocarbons(HCFCs),2007,NULL,2,NULL,NULL,NULL
21,CFCS,Chlorofluorocarbons (CFCs),2007,NULL,2,NULL,NULL,NULL
22,HALONS,Halons,2007,NULL,2,NULL,NULL,NULL
23,CHLORINE AND INORGANIC COMPOUNDS,Chlorine and inorganic compounds (as HCl),2001,NULL,2,NULL,51,CHLORINE AND INORGANIC COMPOUNDSEPER
24,FLUORINE AND INORGANIC COMPOUNDS,Fluorine and inorganic compounds (as HF),2001,NULL,2,NULL,54,FLUORINE AND INORGANIC COMPOUNDSEPER
25,HCN,Hydrogen cyanide (HCN),2001,NULL,2,74-90-8,55,HCNEPER
26,AS AND COMPOUNDS,Arsenic and compounds (as As),2001,NULL,3,NULL,17,AS AND COMPOUNDSEPER
27,CD AND COMPOUNDS,Cadmium and compounds (as Cd),2001,NULL,3,NULL,18,CD AND COMPOUNDSEPER
28,CR AND COMPOUNDS,Chromium and compounds (as Cr),2001,NULL,3,NULL,19,CR AND COMPOUNDSEPER
29,CU AND COMPOUNDS,Copper and compounds (as Cu),2001,NULL,3,NULL,20,CU AND COMPOUNDSEPER
30,HG AND COMPOUNDS,Mercury and compounds (as Hg),2001,NULL,3,NULL,21,HG AND COMPOUNDSEPER
