LOV_CountryID,Code,Name,StartYear,EndYear
161,NE,Niger,2001,NULL
201,SK,Slovakia,2001,NULL
15,AT,Austria,2001,NULL
109,IT,Italy,2001,NULL
3,AL,Albania,2001,NULL
118,KR,"Korea, Republic of",2001,NULL
212,SZ,Swaziland,2001,NULL
235,US,United States,2001,NULL
26,BT,Bhutan,2001,NULL
178,PT,Portugal,2001,NULL
129,LU,Luxembourg,2001,NULL
106,IE,Ireland,2001,NULL
6,AD,Andorra,2001,NULL
55,HR,Croatia,2001,NULL
213,SE,Sweden,2001,NULL
21,BY,Belarus,2001,NULL
156,NL,Netherlands,2001,NULL
58,CZ,Czech Republic,2001,NULL
81,DE,Germany,2001,NULL
207,ES,Spain,2001,NULL
150,MA,Morocco,2001,NULL
1,AF,Afghanistan,2001,NULL
84,EL,Greece,2001,NULL
10,AG,Antigua and Barbuda,2001,NULL
234,UK,United Kingdom,2001,NULL
65,SV,El Salvador,2001,NULL
73,FI,Finland,2001,NULL
25,BM,Bermuda,2001,NULL
231,UA,Ukraine,2001,NULL
128,LT,Lithuania,2001,NULL
122,LV,Latvia,2001,NULL
22,BE,Belgium,2001,NULL
202,SI,Slovenia,2001,NULL
59,DK,Denmark,2001,NULL
82,GH,Ghana,2001,NULL
39,CA,Canada,2001,NULL
182,RO,Romania,2001,NULL
45,CN,China,2001,NULL
60,DJ,Djibouti,2001,NULL
226,TR,Turkey,2001,NULL
83,GI,Gibraltar,2001,NULL
177,PL,Poland,2001,NULL
34,BG,Bulgaria,2001,NULL
111,JP,Japan,2001,NULL
197,RS,Serbia,2001,NULL
214,CH,Switzerland,2001,NULL
166,NO,Norway,2001,NULL
68,EE,Estonia,2001,NULL
80,GE,Georgia,2001,NULL
74,FR,France,2001,NULL
57,CY,Cyprus,2001,NULL
137,MT,Malta,2001,NULL
100,HU,Hungary,2001,NULL
