LOV_CountryID,Code,Name,StartYear,EndYear
15,AT,Austria,2001,NULL
22,BE,Belgium,2001,NULL
34,BG,Bulgaria,2001,NULL
57,CY,Cyprus,2001,NULL
58,CZ,Czech Republic,2001,NULL
59,DK,Denmark,2001,NULL
68,EE,Estonia,2001,NULL
73,FI,Finland,2001,NULL
74,FR,France,2001,NULL
81,DE,Germany,2001,NULL
84,EL,Greece,2001,NULL
100,HU,Hungary,2001,NULL
101,IS,Iceland,2001,NULL
106,IE,Ireland,2001,NULL
109,IT,Italy,2001,NULL
122,LV,Latvia,2001,NULL
127,LI,Liechtenstein,2001,NULL
128,LT,Lithuania,2001,NULL
129,LU,Luxembourg,2001,NULL
137,MT,Malta,2001,NULL
156,NL,Netherlands,2001,NULL
166,NO,Norway,2001,NULL
177,PL,Poland,2001,NULL
178,PT,Portugal,2001,NULL
182,RO,Romania,2001,NULL
197,RS,Serbia,2001,NULL
201,SK,Slovakia,2001,NULL
202,SI,Slovenia,2001,NULL
207,ES,Spain,2001,NULL
213,SE,Sweden,2001,NULL
214,CH,Switzerland,2001,NULL
234,UK,United Kingdom,2001,NULL
